rep,position,fraction,latency_ns,outlier
2,2902782,0.145258,36228,0
2,2910778,0.145658,35869,0
2,2911351,0.145687,64156,1
2,2918775,0.146058,36394,0
2,2919731,0.146106,65291,1
2,2923744,0.146307,63515,1
2,2926771,0.146459,36549,0
2,2928022,0.146521,64113,1
2,2930148,0.146628,67897,1
2,2930149,0.146628,63558,1
2,2934768,0.146859,34665,0
2,2942765,0.147259,35048,0
2,2950761,0.147659,34710,0
2,2958758,0.148059,35539,0
2,2966755,0.148459,38220,0
2,2974751,0.14886,35154,0
2,2982748,0.14926,35099,0
2,2990745,0.14966,34938,0
2,2998741,0.15006,35708,0
2,3006738,0.15046,35432,0
2,3014735,0.15086,34822,0
2,3022731,0.15126,36070,0
2,3030728,0.151661,35559,0
2,3038724,0.152061,36311,0
2,3046721,0.152461,36114,0
2,3052235,0.152737,65957,1
2,3054718,0.152861,35214,0
2,3062714,0.153261,35333,0
2,3065556,0.153403,210535,1
2,3065557,0.153404,205836,1
2,3065558,0.153404,201169,1
2,3065559,0.153404,196307,1
2,3065560,0.153404,191438,1
2,3065561,0.153404,186587,1
2,3065562,0.153404,181647,1
2,3065563,0.153404,176689,1
2,3065564,0.153404,171774,1
2,3065565,0.153404,166830,1
2,3065566,0.153404,161874,1
2,3065567,0.153404,156895,1
2,3065568,0.153404,151937,1
2,3065569,0.153404,146978,1
2,3065570,0.153404,141998,1
2,3065571,0.153404,137051,1
2,3065572,0.153404,132092,1
2,3065573,0.153404,127111,1
2,3065574,0.153404,122154,1
2,3065575,0.153404,117203,1
2,3065576,0.153404,112222,1
2,3065577,0.153405,107259,1
2,3065578,0.153405,102467,1
2,3065579,0.153405,97772,1
2,3065580,0.153405,92961,1
2,3065581,0.153405,88021,1
2,3065582,0.153405,83041,1
2,3065583,0.153405,78090,1
2,3065584,0.153405,73130,1
2,3065585,0.153405,68138,1
2,3066130,0.153432,63318,1
2,3066360,0.153444,740509,1
2,3066361,0.153444,736303,1
2,3066362,0.153444,732218,1
2,3066363,0.153444,728135,1
2,3066364,0.153444,723930,1
2,3066365,0.153444,719658,1
2,3066366,0.153444,715202,1
2,3066367,0.153444,711875,1
2,3066368,0.153444,708434,1
2,3066369,0.153444,704009,1
2,3066370,0.153444,699652,1
2,3066371,0.153444,695368,1
2,3066372,0.153444,691063,1
2,3066373,0.153444,687031,1
2,3066374,0.153444,682715,1
2,3066375,0.153444,678436,1
2,3066376,0.153445,675416,1
2,3066377,0.153445,671272,1
2,3066378,0.153445,666972,1
2,3066379,0.153445,662790,1
2,3066380,0.153445,658648,1
2,3066381,0.153445,654140,1
2,3066382,0.153445,649925,1
2,3066383,0.153445,645729,1
2,3066384,0.153445,645467,1
2,3066385,0.153445,641461,1
2,3066386,0.153445,637044,1
2,3066387,0.153445,632952,1
2,3066388,0.153445,628780,1
2,3066389,0.153445,624511,1
2,3066390,0.153445,620325,1
2,3066391,0.153445,616129,1
2,3066392,0.153445,612417,1
2,3066393,0.153445,608282,1
2,3066394,0.153445,604036,1
2,3066395,0.153445,600161,1
2,3066396,0.153446,596033,1
2,3066397,0.153446,591609,1
2,3066398,0.153446,587413,1
2,3066399,0.153446,583223,1
2,3066400,0.153446,582703,1
2,3066401,0.153446,578562,1
2,3066402,0.153446,574308,1
2,3066403,0.153446,570084,1
2,3066404,0.153446,566161,1
2,3066405,0.153446,561967,1
2,3066406,0.153446,557659,1
2,3066407,0.153446,553506,1
2,3066408,0.153446,550203,1
2,3066409,0.153446,546061,1
2,3066410,0.153446,541798,1
2,3066411,0.153446,537721,1
2,3066412,0.153446,533577,1
2,3066413,0.153446,529361,1
2,3066414,0.153446,525205,1
2,3066415,0.153446,520965,1
2,3066416,0.153447,519409,1
2,3066417,0.153447,515778,1
2,3066418,0.153447,511563,1
2,3066419,0.153447,507425,1
